date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:29:46	36/36	---M--	200	added ('OK')	text/plain	etag:%2224-4a2905e3-314e7d761f986d35;;;%22	https://www.nachocabanes.com/robots.txt		(from )
16:29:46	16435/16435	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2019:29:36%20GMT	https://www.nachocabanes.com/c/curso/	C:/Mis%20lugares%20Web/Programming_Page/www.nachocabanes.com/c/curso/index.html	(from )
16:29:46	149547/149547	---M-Z	200	added ('OK')	text/css	etag:%222482b-533f1adc-76fa7ce80b9fdfc8;gz%22	https://www.nachocabanes.com/css/foundation.css	C:/Mis%20lugares%20Web/Programming_Page/www.nachocabanes.com/css/foundation.css	(from https://www.nachocabanes.com/c/curso/)
16:29:47	3070/3070	---M-Z	200	added ('OK')	text/css	etag:%22bfe-61c86566-1f24f6a5b397aa;gz%22	https://www.nachocabanes.com/css/prism.css	C:/Mis%20lugares%20Web/Programming_Page/www.nachocabanes.com/css/prism.css	(from https://www.nachocabanes.com/c/curso/)
16:29:47	9288/9288	---M-Z	200	added ('OK')	application/x-javascript	etag:%222448-52a1d17c-bb60c689e32a214e;gz%22	https://www.nachocabanes.com/js/modernizr.js	C:/Mis%20lugares%20Web/Programming_Page/www.nachocabanes.com/js/modernizr.js	(from https://www.nachocabanes.com/c/curso/)
16:29:47	97233/97233	---M-Z	200	added ('OK')	application/x-javascript	etag:%2217bd1-61c5acc8-54cfe1c3d4fb1f2c;gz%22	https://www.nachocabanes.com/css/prism.js	C:/Mis%20lugares%20Web/Programming_Page/www.nachocabanes.com/css/prism.js	(from https://www.nachocabanes.com/c/curso/)
16:29:47	15977/15977	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2019:29:37%20GMT	https://www.nachocabanes.com/c/curso/index.php	C:/Mis%20lugares%20Web/Programming_Page/www.nachocabanes.com/c/curso/index-2.html	(from https://www.nachocabanes.com/c/curso/)
16:29:48	5970/5970	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2019:29:37%20GMT	https://www.nachocabanes.com/c/curso/cc00.php	C:/Mis%20lugares%20Web/Programming_Page/www.nachocabanes.com/c/curso/cc00.html	(from https://www.nachocabanes.com/c/curso/)
16:29:48	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d11c7f9-c25bdec856fd908e;gz%22	https://www.nachocabanes.com/c/curso/516695	C:/Mis%20lugares%20Web/Programming_Page/www.nachocabanes.com/c/curso/516695	(from https://www.nachocabanes.com/c/curso/)
16:29:49	7931/7931	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2019:29:39%20GMT	https://www.nachocabanes.com/c/curso/cc01.php	C:/Mis%20lugares%20Web/Programming_Page/www.nachocabanes.com/c/curso/cc01.html	(from https://www.nachocabanes.com/c/curso/)
16:29:50	44340/44340	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2019:29:39%20GMT	https://www.nachocabanes.com/c/curso/cc02.php	C:/Mis%20lugares%20Web/Programming_Page/www.nachocabanes.com/c/curso/cc02.html	(from https://www.nachocabanes.com/c/curso/)
16:29:51	32466/32466	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2019:29:40%20GMT	https://www.nachocabanes.com/c/curso/cc03.php	C:/Mis%20lugares%20Web/Programming_Page/www.nachocabanes.com/c/curso/cc03.html	(from https://www.nachocabanes.com/c/curso/)
16:29:51	22281/22281	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2019:29:40%20GMT	https://www.nachocabanes.com/c/curso/cc04.php	C:/Mis%20lugares%20Web/Programming_Page/www.nachocabanes.com/c/curso/cc04.html	(from https://www.nachocabanes.com/c/curso/)
16:29:52	10891/10891	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2019:29:42%20GMT	https://www.nachocabanes.com/c/curso/cc05.php	C:/Mis%20lugares%20Web/Programming_Page/www.nachocabanes.com/c/curso/cc05.html	(from https://www.nachocabanes.com/c/curso/)
16:29:53	8114/8114	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2019:29:42%20GMT	https://www.nachocabanes.com/c/curso/cc06.php	C:/Mis%20lugares%20Web/Programming_Page/www.nachocabanes.com/c/curso/cc06.html	(from https://www.nachocabanes.com/c/curso/)
16:29:53	6254/6254	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2019:29:43%20GMT	https://www.nachocabanes.com/c/curso/cc07.php	C:/Mis%20lugares%20Web/Programming_Page/www.nachocabanes.com/c/curso/cc07.html	(from https://www.nachocabanes.com/c/curso/)
16:29:53	5762/5762	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2019:29:43%20GMT	https://www.nachocabanes.com/c/curso/cc08.php	C:/Mis%20lugares%20Web/Programming_Page/www.nachocabanes.com/c/curso/cc08.html	(from https://www.nachocabanes.com/c/curso/)
