date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:51:44	8299/8299	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Aug%202022%2018:51:44%20GMT	https://www.nachocabanes.com/pascal/cupas5/	C:/Users/Hugo/OneDrive%20-%20dts.edu/GitHubProjects/programacionPascal/www.nachocabanes.com/pascal/cupas5/index.html	(from )
15:51:44	36/36	---M--	200	added ('OK')	text/plain	etag:%2224-4a2905e3-314e7d761f986d35;;;%22	https://www.nachocabanes.com/robots.txt		(from )
15:51:45	149547/149547	---M-Z	200	added ('OK')	text/css	etag:%222482b-533f1adc-76fa7ce80b9fdfc8;gz%22	https://www.nachocabanes.com/css/foundation.css	C:/Users/Hugo/OneDrive%20-%20dts.edu/GitHubProjects/programacionPascal/www.nachocabanes.com/css/foundation.css	(from https://www.nachocabanes.com/pascal/cupas5/)
15:51:45	3070/3070	---M-Z	200	added ('OK')	text/css	etag:%22bfe-61c86566-1f24f6a5b397aa;gz%22	https://www.nachocabanes.com/css/prism.css	C:/Users/Hugo/OneDrive%20-%20dts.edu/GitHubProjects/programacionPascal/www.nachocabanes.com/css/prism.css	(from https://www.nachocabanes.com/pascal/cupas5/)
15:51:45	9288/9288	---M-Z	200	added ('OK')	application/x-javascript	etag:%222448-52a1d17c-bb60c689e32a214e;gz%22	https://www.nachocabanes.com/js/modernizr.js	C:/Users/Hugo/OneDrive%20-%20dts.edu/GitHubProjects/programacionPascal/www.nachocabanes.com/js/modernizr.js	(from https://www.nachocabanes.com/pascal/cupas5/)
15:51:46	97233/97233	---M-Z	200	added ('OK')	application/x-javascript	etag:%2217bd1-61c5acc8-54cfe1c3d4fb1f2c;gz%22	https://www.nachocabanes.com/css/prism.js	C:/Users/Hugo/OneDrive%20-%20dts.edu/GitHubProjects/programacionPascal/www.nachocabanes.com/css/prism.js	(from https://www.nachocabanes.com/pascal/cupas5/)
15:51:46	7841/7841	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20Aug%202022%2018:51:46%20GMT	https://www.nachocabanes.com/pascal/cupas5/index.php	C:/Users/Hugo/OneDrive%20-%20dts.edu/GitHubProjects/programacionPascal/www.nachocabanes.com/pascal/cupas5/index-2.html	(from https://www.nachocabanes.com/pascal/cupas5/)
15:51:46	11378/11378	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Aug%202022%2018:51:46%20GMT	https://www.nachocabanes.com/pascal/cupas5/cupas00.php	C:/Users/Hugo/OneDrive%20-%20dts.edu/GitHubProjects/programacionPascal/www.nachocabanes.com/pascal/cupas5/cupas00.html	(from https://www.nachocabanes.com/pascal/cupas5/)
15:51:47	20221/20221	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Aug%202022%2018:51:47%20GMT	https://www.nachocabanes.com/pascal/cupas5/cupas01.php	C:/Users/Hugo/OneDrive%20-%20dts.edu/GitHubProjects/programacionPascal/www.nachocabanes.com/pascal/cupas5/cupas01.html	(from https://www.nachocabanes.com/pascal/cupas5/)
15:51:47	17445/17445	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Aug%202022%2018:51:47%20GMT	https://www.nachocabanes.com/pascal/cupas5/cupas01b.php	C:/Users/Hugo/OneDrive%20-%20dts.edu/GitHubProjects/programacionPascal/www.nachocabanes.com/pascal/cupas5/cupas01b.html	(from https://www.nachocabanes.com/pascal/cupas5/)
15:51:47	14854/14854	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Aug%202022%2018:51:48%20GMT	https://www.nachocabanes.com/pascal/cupas5/cupas02.php	C:/Users/Hugo/OneDrive%20-%20dts.edu/GitHubProjects/programacionPascal/www.nachocabanes.com/pascal/cupas5/cupas02.html	(from https://www.nachocabanes.com/pascal/cupas5/)
15:51:48	9375/9375	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Aug%202022%2018:51:48%20GMT	https://www.nachocabanes.com/pascal/cupas5/cupas02b.php	C:/Users/Hugo/OneDrive%20-%20dts.edu/GitHubProjects/programacionPascal/www.nachocabanes.com/pascal/cupas5/cupas02b.html	(from https://www.nachocabanes.com/pascal/cupas5/)
15:51:48	14125/14125	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Aug%202022%2018:51:48%20GMT	https://www.nachocabanes.com/pascal/cupas5/cupas03.php	C:/Users/Hugo/OneDrive%20-%20dts.edu/GitHubProjects/programacionPascal/www.nachocabanes.com/pascal/cupas5/cupas03.html	(from https://www.nachocabanes.com/pascal/cupas5/)
